0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:39 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:54 +0900] "GET /yist/ HTTP/1.1" 200 1960
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:54 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:54:28 +0900] "GET /yist/ HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:54:28 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:54:38 +0900] "GET /yist/ HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:54:38 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:54:51 +0900] "GET /yist/ HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:54:51 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:31 +0900] "GET /yist/yistcheck.ins HTTP/1.1" 200 25345
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/simplebar/simplebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/jvectormap/jquery-jvectormap-2.0.3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/material/css/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/DataTables/DataTables-1.10.18/css/jquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/prism/prism.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/toaster/toastr.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/css/instructor/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/css/style.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/js/mono.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/js/chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/js/map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/circle-progress/circle-progress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/simplebar/simplebar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/images/user/user-sm-02.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/images/yist_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/images/user/user-sm-03.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/images/user/user-sm-01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/images/user/user-sm-04.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/images/user/user-xs-01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:32 +0900] "GET /yist/resources/plugins/material/fonts/materialdesignicons-webfont.woff2?v=3.3.92 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/taskForm.ins HTTP/1.1" 200 40087
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-sm-02.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-sm-03.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-sm-04.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-xs-01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-sm-01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/resources/images/test1.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-sm-03.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:35 +0900] "GET /yist/images/user/user-sm-02.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:42 +0900] "GET /yist/resources/css/instructor/style.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:42 +0900] "GET /yist/resources/plugins/material/css/materialdesignicons.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:03:42 +0900] "GET /yist/resources/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:06 +0900] "GET /yist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:06 +0900] "GET /yist/ HTTP/1.1" 200 2201
